Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
24,"Nov 3, 2008",2003,6-11,Chris Bosh,PF,2008-2009,2009,5,Toronto Raptors,0.5,East,235
23,"Nov 3, 2008",2005,6-0,Chris Paul,PG,2008-2009,2009,3,New Orleans Hornets,0.5,West,175
23,"Nov 3, 2008",2005,6-0,Chris Paul,PG,2008-2009,2009,3,New Orleans Hornets,0.5,West,175
30,"Nov 3, 2002",1994,6-7,Glenn Robinson,SF,2002-2003,2003,8,Atlanta Hawks,0.5,East,225
24,"Nov 3, 2002",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,0.5,West,212
24,"Nov 3, 1985",1982,6-6,Derek Smith,SG,1985-1986,1986,3,Los Angeles Clippers,1,NA,205
24,"Nov 3, 1985",1982,6-6,Derek Smith,SG,1985-1986,1986,3,Los Angeles Clippers,1,NA,205
25,"Nov 29, 2010",2004,6-11,Dwight Howard,C,2010-2011,2011,6,Orlando Magic,0.5,East,265
32,"Nov 29, 2010",1998,7-0,Dirk Nowitzki,PF,2010-2011,2011,12,Dallas Mavericks,0.5,West,245
27,"Nov 29, 1992",1987,7-1,David Robinson,C,1992-1993,1993,3,San Antonio Spurs,1,NA,250
25,"Nov 29, 1987",1983,6-7,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,1,NA,210
28,"Nov 28, 2016",2008,208cm,Kevin Love,FC,2016-2017,2017,8,Cleveland Cavaliers,0.5,East,114kg
28,"Nov 28, 2016",2007,206cm,Kevin Durant,SF,2016-2017,2017,9,Golden State Warriors,0.5,West,109kg
23,"Nov 28, 2005",2001,6-7,Gerald Wallace,F,2005-2006,2006,4,Charlotte Bobcats,0.5,East,220
32,"Nov 28, 2005",1996,6-3,Steve Nash,G,2005-2006,2006,9,Phoenix Suns,0.5,West,178
20,"Nov 28, 2004",2003,6-8,LeBron James,F,2004-2005,2005,1,Cleveland Cavaliers,0.5,East,250
26,"Nov 28, 2004",1999,6-7,Shawn Marion,F,2004-2005,2005,5,Phoenix Suns,0.5,West,228
23,"Nov 28, 1999",1997,6-11,Tim Duncan,FC,1999-2000,2000,2,San Antonio Spurs,1,NA,250
26,"Nov 28, 1993",1989,6-8,Glen Rice,SF,1993-1994,1994,4,Miami Heat,1,NA,228
31,"Nov 27, 2017",2008,191cm,Goran Dragic,G,2017-2018,2018,9,Miami Heat,0.5,East,86kg
24,"Nov 27, 2017",2012,208cm,Anthony Davis,PF,2017-2018,2018,5,New Orleans Pelicans,0.5,West,115kg
23,"Nov 27, 1994",1993,6-7,Penny Hardaway,PG,1994-1995,1995,1,Orlando Magic,1,NA,195
26,"Nov 27, 1988",1985,7-0,Patrick Ewing,C,1988-1989,1989,3,New York Knicks,1,NA,240
26,"Nov 26, 2012",2007,6-10,Al Horford,FC,2012-2013,2013,5,Atlanta Hawks,0.5,East,245
36,"Nov 26, 2012",1997,6-11,Tim Duncan,FC,2012-2013,2013,15,San Antonio Spurs,0.5,West,250
21,"Nov 26, 2006",2004,6-11,Dwight Howard,C,2006-2007,2007,2,Orlando Magic,0.5,East,265
22,"Nov 26, 2006",2003,6-8,Carmelo Anthony,F,2006-2007,2007,3,Denver Nuggets,0.5,West,240
21,"Nov 26, 2000",1999,6-3,Baron Davis,G,2000-2001,2001,1,Charlotte Hornets,1,NA,215
